,disease,disease_id,cell_type,cl_id,gene,ensembl_id,mean_expression_disease,disease_sample_size,mean_expression_normal,normal_sample_size,disease_female_sample_size,disease_male_sample_size,normal_female_sample_size,normal_male_sample_size,disease_num_datasets,normal_num_datasets,disease_datasets,normal_datasets,ratio_of_disease_over_normal_for_mean,log2FC,pval_adj,iri,label,type,source,tissue
0,chronic kidney disease,HP_0012622,Proximal tubule epithelial cell,CL:0002306,CCL21,ENSG00000137077,0.018547041,34225,0.022178203,67753,21797,12428,15407,18492,39,102,"KB1,KB2,KB4,KB6,KB7,KB8,KB10,KB14,KB15,KB16,KB18,KB19,KB22,KB24,KB26,KB28,KB29,KB31,KB32,KB34,KB36,KB37,KB39,KB40,KB41,KB42,KB43,KB44,KB45,KB46,KB47,KB51,KB53,KB55,KB56,KB58,KB59,KB60,KB62","KC33,KC34,KC35,KC36,PA1,KC39,KC40,KM69,KM71,KM72,KM102,KM103,PA3,KC82,PA4,KC83,KC84,PA5,KC77,KC78,KC79,KB33,KB48,KB49,KB50,KB52,KB61,KB64,KB65,KB66,KB67,KB68,HBM782.HVML.355,HBM938.WTSR.492,HBM683.HJQF.753,HBM976.LDTR.982,HBM845.SFMK.942,HBM293.NNSQ.773,HBM842.DDTX.473,HBM648.DKQK.874,HBM467.RQDN.922,HBM626.PHCW.834,HBM796.PCWD.863,HBM482.MCCP.264,HBM722.TVXP.469,HBM373.HCFG.722,HBM964.BVWP.737,HBM743.RNWC.765,HBM449.QGGL.994,HBM745.FJML.722,HBM465.STNV.844,HBM593.CLXN.573,HBM425.GDJT.648,HBM368.JCBG.263,HBM439.BQLR.867,HBM253.ZBGF.863,HBM563.FFQJ.764,HBM292.MTQK.563,HBM689.ZKRJ.585,HBM247.HLXR.494,HBM437.LCSH.956,HBM456.XDCK.572,HBM937.TWRN.355,HBM322.XJQZ.894,HBM979.VMDC.365,HBM976.MRWH.263,HBM938.GBST.823,HBM936.MHTZ.834,HBM524.KHPH.599,HBM324.XBMF.465,HBM975.MVDK.648,HBM779.FQMX.497,HBM633.LLDZ.679,HBM793.JDRF.289,HBM787.XCSX.733,HBM525.SJRT.585,HBM752.KZCK.589,HBM734.LFLC.264,HBM675.VBDH.688,HBM933.JFFT.692,HBM688.RPFC.258,HBM573.JGLL.575,HBM349.QCWZ.339,HBM522.FTFK.487,HBM528.DMSV.294,HBM334.DWWF.436,HBM539.GJNB.784,HBM674.FLVW.576,HBM759.CHJW.244,HBM299.VDWT.444,HBM928.THDD.545,HBM363.NTWP.766,HBM874.JPGB.398,HBM745.HTBD.332,HBM823.CNRW.484,HBM879.SGNW.944,HBM264.MJCH.639,HBM445.HBRQ.488,HBM729.TVMN.534,HBM478.VWXX.362,HBM847.MDSJ.826,HBM766.NZWP.682",0.83627343,-0.26058218,0.3260525263093636,http://purl.obolibrary.org/obo/UBERON_0004134,kidney proximal tubule epithelial,http://purl.obolibrary.org/obo/UBERON_0000061,https://purl.humanatlas.io/vocab/hp,Proximal tubule epithelial
1,chronic kidney disease,HP_0012622,Proximal tubule epithelial cell,CL:0002306,NRXN1,ENSG00000179915,0.06299799,34225,0.024413323,67753,21797,12428,15407,18492,39,102,"KB1,KB2,KB4,KB6,KB7,KB8,KB10,KB14,KB15,KB16,KB18,KB19,KB22,KB24,KB26,KB28,KB29,KB31,KB32,KB34,KB36,KB37,KB39,KB40,KB41,KB42,KB43,KB44,KB45,KB46,KB47,KB51,KB53,KB55,KB56,KB58,KB59,KB60,KB62","KC33,KC34,KC35,KC36,PA1,KC39,KC40,KM69,KM71,KM72,KM102,KM103,PA3,KC82,PA4,KC83,KC84,PA5,KC77,KC78,KC79,KB33,KB48,KB49,KB50,KB52,KB61,KB64,KB65,KB66,KB67,KB68,HBM782.HVML.355,HBM938.WTSR.492,HBM683.HJQF.753,HBM976.LDTR.982,HBM845.SFMK.942,HBM293.NNSQ.773,HBM842.DDTX.473,HBM648.DKQK.874,HBM467.RQDN.922,HBM626.PHCW.834,HBM796.PCWD.863,HBM482.MCCP.264,HBM722.TVXP.469,HBM373.HCFG.722,HBM964.BVWP.737,HBM743.RNWC.765,HBM449.QGGL.994,HBM745.FJML.722,HBM465.STNV.844,HBM593.CLXN.573,HBM425.GDJT.648,HBM368.JCBG.263,HBM439.BQLR.867,HBM253.ZBGF.863,HBM563.FFQJ.764,HBM292.MTQK.563,HBM689.ZKRJ.585,HBM247.HLXR.494,HBM437.LCSH.956,HBM456.XDCK.572,HBM937.TWRN.355,HBM322.XJQZ.894,HBM979.VMDC.365,HBM976.MRWH.263,HBM938.GBST.823,HBM936.MHTZ.834,HBM524.KHPH.599,HBM324.XBMF.465,HBM975.MVDK.648,HBM779.FQMX.497,HBM633.LLDZ.679,HBM793.JDRF.289,HBM787.XCSX.733,HBM525.SJRT.585,HBM752.KZCK.589,HBM734.LFLC.264,HBM675.VBDH.688,HBM933.JFFT.692,HBM688.RPFC.258,HBM573.JGLL.575,HBM349.QCWZ.339,HBM522.FTFK.487,HBM528.DMSV.294,HBM334.DWWF.436,HBM539.GJNB.784,HBM674.FLVW.576,HBM759.CHJW.244,HBM299.VDWT.444,HBM928.THDD.545,HBM363.NTWP.766,HBM874.JPGB.398,HBM745.HTBD.332,HBM823.CNRW.484,HBM879.SGNW.944,HBM264.MJCH.639,HBM445.HBRQ.488,HBM729.TVMN.534,HBM478.VWXX.362,HBM847.MDSJ.826,HBM766.NZWP.682",2.5804758,1.3956728,9.426418791535617e-14,http://purl.obolibrary.org/obo/UBERON_0004134,kidney proximal tubule epithelial,http://purl.obolibrary.org/obo/UBERON_0000061,https://purl.humanatlas.io/vocab/hp,Proximal tubule epithelial
2,chronic kidney disease,HP_0012622,Proximal tubule epithelial cell,CL:0002306,SLC9A3,ENSG00000281861,0.6435305,34225,0.5336894,67753,21797,12428,15407,18492,39,102,"KB1,KB2,KB4,KB6,KB7,KB8,KB10,KB14,KB15,KB16,KB18,KB19,KB22,KB24,KB26,KB28,KB29,KB31,KB32,KB34,KB36,KB37,KB39,KB40,KB41,KB42,KB43,KB44,KB45,KB46,KB47,KB51,KB53,KB55,KB56,KB58,KB59,KB60,KB62","KC33,KC34,KC35,KC36,PA1,KC39,KC40,KM69,KM71,KM72,KM102,KM103,PA3,KC82,PA4,KC83,KC84,PA5,KC77,KC78,KC79,KB33,KB48,KB49,KB50,KB52,KB61,KB64,KB65,KB66,KB67,KB68,HBM782.HVML.355,HBM938.WTSR.492,HBM683.HJQF.753,HBM976.LDTR.982,HBM845.SFMK.942,HBM293.NNSQ.773,HBM842.DDTX.473,HBM648.DKQK.874,HBM467.RQDN.922,HBM626.PHCW.834,HBM796.PCWD.863,HBM482.MCCP.264,HBM722.TVXP.469,HBM373.HCFG.722,HBM964.BVWP.737,HBM743.RNWC.765,HBM449.QGGL.994,HBM745.FJML.722,HBM465.STNV.844,HBM593.CLXN.573,HBM425.GDJT.648,HBM368.JCBG.263,HBM439.BQLR.867,HBM253.ZBGF.863,HBM563.FFQJ.764,HBM292.MTQK.563,HBM689.ZKRJ.585,HBM247.HLXR.494,HBM437.LCSH.956,HBM456.XDCK.572,HBM937.TWRN.355,HBM322.XJQZ.894,HBM979.VMDC.365,HBM976.MRWH.263,HBM938.GBST.823,HBM936.MHTZ.834,HBM524.KHPH.599,HBM324.XBMF.465,HBM975.MVDK.648,HBM779.FQMX.497,HBM633.LLDZ.679,HBM793.JDRF.289,HBM787.XCSX.733,HBM525.SJRT.585,HBM752.KZCK.589,HBM734.LFLC.264,HBM675.VBDH.688,HBM933.JFFT.692,HBM688.RPFC.258,HBM573.JGLL.575,HBM349.QCWZ.339,HBM522.FTFK.487,HBM528.DMSV.294,HBM334.DWWF.436,HBM539.GJNB.784,HBM674.FLVW.576,HBM759.CHJW.244,HBM299.VDWT.444,HBM928.THDD.545,HBM363.NTWP.766,HBM874.JPGB.398,HBM745.HTBD.332,HBM823.CNRW.484,HBM879.SGNW.944,HBM264.MJCH.639,HBM445.HBRQ.488,HBM729.TVMN.534,HBM478.VWXX.362,HBM847.MDSJ.826,HBM766.NZWP.682",1.2058147,0.35697305,2.012889440185188e-12,http://purl.obolibrary.org/obo/UBERON_0004134,kidney proximal tubule epithelial,http://purl.obolibrary.org/obo/UBERON_0000061,https://purl.humanatlas.io/vocab/hp,Proximal tubule epithelial
3,chronic kidney disease,HP_0012622,Proximal tubule epithelial cell,CL:0002306,SLC9A3,ENSG00000281861,0.6435305,34225,0.5336894,67753,21797,12428,15407,18492,39,102,"KB1,KB2,KB4,KB6,KB7,KB8,KB10,KB14,KB15,KB16,KB18,KB19,KB22,KB24,KB26,KB28,KB29,KB31,KB32,KB34,KB36,KB37,KB39,KB40,KB41,KB42,KB43,KB44,KB45,KB46,KB47,KB51,KB53,KB55,KB56,KB58,KB59,KB60,KB62","KC33,KC34,KC35,KC36,PA1,KC39,KC40,KM69,KM71,KM72,KM102,KM103,PA3,KC82,PA4,KC83,KC84,PA5,KC77,KC78,KC79,KB33,KB48,KB49,KB50,KB52,KB61,KB64,KB65,KB66,KB67,KB68,HBM782.HVML.355,HBM938.WTSR.492,HBM683.HJQF.753,HBM976.LDTR.982,HBM845.SFMK.942,HBM293.NNSQ.773,HBM842.DDTX.473,HBM648.DKQK.874,HBM467.RQDN.922,HBM626.PHCW.834,HBM796.PCWD.863,HBM482.MCCP.264,HBM722.TVXP.469,HBM373.HCFG.722,HBM964.BVWP.737,HBM743.RNWC.765,HBM449.QGGL.994,HBM745.FJML.722,HBM465.STNV.844,HBM593.CLXN.573,HBM425.GDJT.648,HBM368.JCBG.263,HBM439.BQLR.867,HBM253.ZBGF.863,HBM563.FFQJ.764,HBM292.MTQK.563,HBM689.ZKRJ.585,HBM247.HLXR.494,HBM437.LCSH.956,HBM456.XDCK.572,HBM937.TWRN.355,HBM322.XJQZ.894,HBM979.VMDC.365,HBM976.MRWH.263,HBM938.GBST.823,HBM936.MHTZ.834,HBM524.KHPH.599,HBM324.XBMF.465,HBM975.MVDK.648,HBM779.FQMX.497,HBM633.LLDZ.679,HBM793.JDRF.289,HBM787.XCSX.733,HBM525.SJRT.585,HBM752.KZCK.589,HBM734.LFLC.264,HBM675.VBDH.688,HBM933.JFFT.692,HBM688.RPFC.258,HBM573.JGLL.575,HBM349.QCWZ.339,HBM522.FTFK.487,HBM528.DMSV.294,HBM334.DWWF.436,HBM539.GJNB.784,HBM674.FLVW.576,HBM759.CHJW.244,HBM299.VDWT.444,HBM928.THDD.545,HBM363.NTWP.766,HBM874.JPGB.398,HBM745.HTBD.332,HBM823.CNRW.484,HBM879.SGNW.944,HBM264.MJCH.639,HBM445.HBRQ.488,HBM729.TVMN.534,HBM478.VWXX.362,HBM847.MDSJ.826,HBM766.NZWP.682",1.2058147,0.35697305,2.012889440185188e-12,http://purl.obolibrary.org/obo/UBERON_0004134,kidney proximal tubule epithelial,http://purl.obolibrary.org/obo/UBERON_0000061,https://purl.humanatlas.io/vocab/hp,Proximal tubule epithelial
4,chronic kidney disease,HP_0012622,Proximal tubule epithelial cell,CL:0002306,SPP1,ENSG00000118785,5.240233,34225,7.2017045,67753,21797,12428,15407,18492,39,102,"KB1,KB2,KB4,KB6,KB7,KB8,KB10,KB14,KB15,KB16,KB18,KB19,KB22,KB24,KB26,KB28,KB29,KB31,KB32,KB34,KB36,KB37,KB39,KB40,KB41,KB42,KB43,KB44,KB45,KB46,KB47,KB51,KB53,KB55,KB56,KB58,KB59,KB60,KB62","KC33,KC34,KC35,KC36,PA1,KC39,KC40,KM69,KM71,KM72,KM102,KM103,PA3,KC82,PA4,KC83,KC84,PA5,KC77,KC78,KC79,KB33,KB48,KB49,KB50,KB52,KB61,KB64,KB65,KB66,KB67,KB68,HBM782.HVML.355,HBM938.WTSR.492,HBM683.HJQF.753,HBM976.LDTR.982,HBM845.SFMK.942,HBM293.NNSQ.773,HBM842.DDTX.473,HBM648.DKQK.874,HBM467.RQDN.922,HBM626.PHCW.834,HBM796.PCWD.863,HBM482.MCCP.264,HBM722.TVXP.469,HBM373.HCFG.722,HBM964.BVWP.737,HBM743.RNWC.765,HBM449.QGGL.994,HBM745.FJML.722,HBM465.STNV.844,HBM593.CLXN.573,HBM425.GDJT.648,HBM368.JCBG.263,HBM439.BQLR.867,HBM253.ZBGF.863,HBM563.FFQJ.764,HBM292.MTQK.563,HBM689.ZKRJ.585,HBM247.HLXR.494,HBM437.LCSH.956,HBM456.XDCK.572,HBM937.TWRN.355,HBM322.XJQZ.894,HBM979.VMDC.365,HBM976.MRWH.263,HBM938.GBST.823,HBM936.MHTZ.834,HBM524.KHPH.599,HBM324.XBMF.465,HBM975.MVDK.648,HBM779.FQMX.497,HBM633.LLDZ.679,HBM793.JDRF.289,HBM787.XCSX.733,HBM525.SJRT.585,HBM752.KZCK.589,HBM734.LFLC.264,HBM675.VBDH.688,HBM933.JFFT.692,HBM688.RPFC.258,HBM573.JGLL.575,HBM349.QCWZ.339,HBM522.FTFK.487,HBM528.DMSV.294,HBM334.DWWF.436,HBM539.GJNB.784,HBM674.FLVW.576,HBM759.CHJW.244,HBM299.VDWT.444,HBM928.THDD.545,HBM363.NTWP.766,HBM874.JPGB.398,HBM745.HTBD.332,HBM823.CNRW.484,HBM879.SGNW.944,HBM264.MJCH.639,HBM445.HBRQ.488,HBM729.TVMN.534,HBM478.VWXX.362,HBM847.MDSJ.826,HBM766.NZWP.682",0.7276379,-2.8363988,6.4418927667005094e-77,http://purl.obolibrary.org/obo/UBERON_0004134,kidney proximal tubule epithelial,http://purl.obolibrary.org/obo/UBERON_0000061,https://purl.humanatlas.io/vocab/hp,Proximal tubule epithelial
5,chronic kidney disease,HP_0012622,Proximal tubule epithelial cell,CL:0002306,SERPINE2,ENSG00000135919,0.52289134,34225,0.54425323,67753,21797,12428,15407,18492,39,102,"KB1,KB2,KB4,KB6,KB7,KB8,KB10,KB14,KB15,KB16,KB18,KB19,KB22,KB24,KB26,KB28,KB29,KB31,KB32,KB34,KB36,KB37,KB39,KB40,KB41,KB42,KB43,KB44,KB45,KB46,KB47,KB51,KB53,KB55,KB56,KB58,KB59,KB60,KB62","KC33,KC34,KC35,KC36,PA1,KC39,KC40,KM69,KM71,KM72,KM102,KM103,PA3,KC82,PA4,KC83,KC84,PA5,KC77,KC78,KC79,KB33,KB48,KB49,KB50,KB52,KB61,KB64,KB65,KB66,KB67,KB68,HBM782.HVML.355,HBM938.WTSR.492,HBM683.HJQF.753,HBM976.LDTR.982,HBM845.SFMK.942,HBM293.NNSQ.773,HBM842.DDTX.473,HBM648.DKQK.874,HBM467.RQDN.922,HBM626.PHCW.834,HBM796.PCWD.863,HBM482.MCCP.264,HBM722.TVXP.469,HBM373.HCFG.722,HBM964.BVWP.737,HBM743.RNWC.765,HBM449.QGGL.994,HBM745.FJML.722,HBM465.STNV.844,HBM593.CLXN.573,HBM425.GDJT.648,HBM368.JCBG.263,HBM439.BQLR.867,HBM253.ZBGF.863,HBM563.FFQJ.764,HBM292.MTQK.563,HBM689.ZKRJ.585,HBM247.HLXR.494,HBM437.LCSH.956,HBM456.XDCK.572,HBM937.TWRN.355,HBM322.XJQZ.894,HBM979.VMDC.365,HBM976.MRWH.263,HBM938.GBST.823,HBM936.MHTZ.834,HBM524.KHPH.599,HBM324.XBMF.465,HBM975.MVDK.648,HBM779.FQMX.497,HBM633.LLDZ.679,HBM793.JDRF.289,HBM787.XCSX.733,HBM525.SJRT.585,HBM752.KZCK.589,HBM734.LFLC.264,HBM675.VBDH.688,HBM933.JFFT.692,HBM688.RPFC.258,HBM573.JGLL.575,HBM349.QCWZ.339,HBM522.FTFK.487,HBM528.DMSV.294,HBM334.DWWF.436,HBM539.GJNB.784,HBM674.FLVW.576,HBM759.CHJW.244,HBM299.VDWT.444,HBM928.THDD.545,HBM363.NTWP.766,HBM874.JPGB.398,HBM745.HTBD.332,HBM823.CNRW.484,HBM879.SGNW.944,HBM264.MJCH.639,HBM445.HBRQ.488,HBM729.TVMN.534,HBM478.VWXX.362,HBM847.MDSJ.826,HBM766.NZWP.682",0.9607501,-0.07454211,0.2564078891647169,http://purl.obolibrary.org/obo/UBERON_0004134,kidney proximal tubule epithelial,http://purl.obolibrary.org/obo/UBERON_0000061,https://purl.humanatlas.io/vocab/hp,Proximal tubule epithelial
6,chronic kidney disease,HP_0012622,Proximal tubule epithelial cell,CL:0002306,IL18,ENSG00000150782,0.3526121,34225,0.22853555,67753,21797,12428,15407,18492,39,102,"KB1,KB2,KB4,KB6,KB7,KB8,KB10,KB14,KB15,KB16,KB18,KB19,KB22,KB24,KB26,KB28,KB29,KB31,KB32,KB34,KB36,KB37,KB39,KB40,KB41,KB42,KB43,KB44,KB45,KB46,KB47,KB51,KB53,KB55,KB56,KB58,KB59,KB60,KB62","KC33,KC34,KC35,KC36,PA1,KC39,KC40,KM69,KM71,KM72,KM102,KM103,PA3,KC82,PA4,KC83,KC84,PA5,KC77,KC78,KC79,KB33,KB48,KB49,KB50,KB52,KB61,KB64,KB65,KB66,KB67,KB68,HBM782.HVML.355,HBM938.WTSR.492,HBM683.HJQF.753,HBM976.LDTR.982,HBM845.SFMK.942,HBM293.NNSQ.773,HBM842.DDTX.473,HBM648.DKQK.874,HBM467.RQDN.922,HBM626.PHCW.834,HBM796.PCWD.863,HBM482.MCCP.264,HBM722.TVXP.469,HBM373.HCFG.722,HBM964.BVWP.737,HBM743.RNWC.765,HBM449.QGGL.994,HBM745.FJML.722,HBM465.STNV.844,HBM593.CLXN.573,HBM425.GDJT.648,HBM368.JCBG.263,HBM439.BQLR.867,HBM253.ZBGF.863,HBM563.FFQJ.764,HBM292.MTQK.563,HBM689.ZKRJ.585,HBM247.HLXR.494,HBM437.LCSH.956,HBM456.XDCK.572,HBM937.TWRN.355,HBM322.XJQZ.894,HBM979.VMDC.365,HBM976.MRWH.263,HBM938.GBST.823,HBM936.MHTZ.834,HBM524.KHPH.599,HBM324.XBMF.465,HBM975.MVDK.648,HBM779.FQMX.497,HBM633.LLDZ.679,HBM793.JDRF.289,HBM787.XCSX.733,HBM525.SJRT.585,HBM752.KZCK.589,HBM734.LFLC.264,HBM675.VBDH.688,HBM933.JFFT.692,HBM688.RPFC.258,HBM573.JGLL.575,HBM349.QCWZ.339,HBM522.FTFK.487,HBM528.DMSV.294,HBM334.DWWF.436,HBM539.GJNB.784,HBM674.FLVW.576,HBM759.CHJW.244,HBM299.VDWT.444,HBM928.THDD.545,HBM363.NTWP.766,HBM874.JPGB.398,HBM745.HTBD.332,HBM823.CNRW.484,HBM879.SGNW.944,HBM264.MJCH.639,HBM445.HBRQ.488,HBM729.TVMN.534,HBM478.VWXX.362,HBM847.MDSJ.826,HBM766.NZWP.682",1.5429202,0.71949327,6.335667155010671e-31,http://purl.obolibrary.org/obo/UBERON_0004134,kidney proximal tubule epithelial,http://purl.obolibrary.org/obo/UBERON_0000061,https://purl.humanatlas.io/vocab/hp,Proximal tubule epithelial
7,chronic kidney disease,HP_0012622,Proximal tubule epithelial cell,CL:0002306,NBAS,ENSG00000151779,1.5772905,34225,1.1121422,67753,21797,12428,15407,18492,39,102,"KB1,KB2,KB4,KB6,KB7,KB8,KB10,KB14,KB15,KB16,KB18,KB19,KB22,KB24,KB26,KB28,KB29,KB31,KB32,KB34,KB36,KB37,KB39,KB40,KB41,KB42,KB43,KB44,KB45,KB46,KB47,KB51,KB53,KB55,KB56,KB58,KB59,KB60,KB62","KC33,KC34,KC35,KC36,PA1,KC39,KC40,KM69,KM71,KM72,KM102,KM103,PA3,KC82,PA4,KC83,KC84,PA5,KC77,KC78,KC79,KB33,KB48,KB49,KB50,KB52,KB61,KB64,KB65,KB66,KB67,KB68,HBM782.HVML.355,HBM938.WTSR.492,HBM683.HJQF.753,HBM976.LDTR.982,HBM845.SFMK.942,HBM293.NNSQ.773,HBM842.DDTX.473,HBM648.DKQK.874,HBM467.RQDN.922,HBM626.PHCW.834,HBM796.PCWD.863,HBM482.MCCP.264,HBM722.TVXP.469,HBM373.HCFG.722,HBM964.BVWP.737,HBM743.RNWC.765,HBM449.QGGL.994,HBM745.FJML.722,HBM465.STNV.844,HBM593.CLXN.573,HBM425.GDJT.648,HBM368.JCBG.263,HBM439.BQLR.867,HBM253.ZBGF.863,HBM563.FFQJ.764,HBM292.MTQK.563,HBM689.ZKRJ.585,HBM247.HLXR.494,HBM437.LCSH.956,HBM456.XDCK.572,HBM937.TWRN.355,HBM322.XJQZ.894,HBM979.VMDC.365,HBM976.MRWH.263,HBM938.GBST.823,HBM936.MHTZ.834,HBM524.KHPH.599,HBM324.XBMF.465,HBM975.MVDK.648,HBM779.FQMX.497,HBM633.LLDZ.679,HBM793.JDRF.289,HBM787.XCSX.733,HBM525.SJRT.585,HBM752.KZCK.589,HBM734.LFLC.264,HBM675.VBDH.688,HBM933.JFFT.692,HBM688.RPFC.258,HBM573.JGLL.575,HBM349.QCWZ.339,HBM522.FTFK.487,HBM528.DMSV.294,HBM334.DWWF.436,HBM539.GJNB.784,HBM674.FLVW.576,HBM759.CHJW.244,HBM299.VDWT.444,HBM928.THDD.545,HBM363.NTWP.766,HBM874.JPGB.398,HBM745.HTBD.332,HBM823.CNRW.484,HBM879.SGNW.944,HBM264.MJCH.639,HBM445.HBRQ.488,HBM729.TVMN.534,HBM478.VWXX.362,HBM847.MDSJ.826,HBM766.NZWP.682",1.4182453,0.912602,4.7880353959274e-89,http://purl.obolibrary.org/obo/UBERON_0004134,kidney proximal tubule epithelial,http://purl.obolibrary.org/obo/UBERON_0000061,https://purl.humanatlas.io/vocab/hp,Proximal tubule epithelial
8,chronic kidney disease,HP_0012622,Proximal tubule epithelial cell,CL:0002306,SLC9A3,ENSG00000281861,0.6435305,34225,0.5336894,67753,21797,12428,15407,18492,39,102,"KB1,KB2,KB4,KB6,KB7,KB8,KB10,KB14,KB15,KB16,KB18,KB19,KB22,KB24,KB26,KB28,KB29,KB31,KB32,KB34,KB36,KB37,KB39,KB40,KB41,KB42,KB43,KB44,KB45,KB46,KB47,KB51,KB53,KB55,KB56,KB58,KB59,KB60,KB62","KC33,KC34,KC35,KC36,PA1,KC39,KC40,KM69,KM71,KM72,KM102,KM103,PA3,KC82,PA4,KC83,KC84,PA5,KC77,KC78,KC79,KB33,KB48,KB49,KB50,KB52,KB61,KB64,KB65,KB66,KB67,KB68,HBM782.HVML.355,HBM938.WTSR.492,HBM683.HJQF.753,HBM976.LDTR.982,HBM845.SFMK.942,HBM293.NNSQ.773,HBM842.DDTX.473,HBM648.DKQK.874,HBM467.RQDN.922,HBM626.PHCW.834,HBM796.PCWD.863,HBM482.MCCP.264,HBM722.TVXP.469,HBM373.HCFG.722,HBM964.BVWP.737,HBM743.RNWC.765,HBM449.QGGL.994,HBM745.FJML.722,HBM465.STNV.844,HBM593.CLXN.573,HBM425.GDJT.648,HBM368.JCBG.263,HBM439.BQLR.867,HBM253.ZBGF.863,HBM563.FFQJ.764,HBM292.MTQK.563,HBM689.ZKRJ.585,HBM247.HLXR.494,HBM437.LCSH.956,HBM456.XDCK.572,HBM937.TWRN.355,HBM322.XJQZ.894,HBM979.VMDC.365,HBM976.MRWH.263,HBM938.GBST.823,HBM936.MHTZ.834,HBM524.KHPH.599,HBM324.XBMF.465,HBM975.MVDK.648,HBM779.FQMX.497,HBM633.LLDZ.679,HBM793.JDRF.289,HBM787.XCSX.733,HBM525.SJRT.585,HBM752.KZCK.589,HBM734.LFLC.264,HBM675.VBDH.688,HBM933.JFFT.692,HBM688.RPFC.258,HBM573.JGLL.575,HBM349.QCWZ.339,HBM522.FTFK.487,HBM528.DMSV.294,HBM334.DWWF.436,HBM539.GJNB.784,HBM674.FLVW.576,HBM759.CHJW.244,HBM299.VDWT.444,HBM928.THDD.545,HBM363.NTWP.766,HBM874.JPGB.398,HBM745.HTBD.332,HBM823.CNRW.484,HBM879.SGNW.944,HBM264.MJCH.639,HBM445.HBRQ.488,HBM729.TVMN.534,HBM478.VWXX.362,HBM847.MDSJ.826,HBM766.NZWP.682",1.2058147,0.35697305,2.012889440185188e-12,http://purl.obolibrary.org/obo/UBERON_0004134,kidney proximal tubule epithelial,http://purl.obolibrary.org/obo/UBERON_0000061,https://purl.humanatlas.io/vocab/hp,Proximal tubule epithelial
9,chronic kidney disease,HP_0012622,Proximal tubule epithelial cell,CL:0002306,SLC9A3,ENSG00000281861,0.6435305,34225,0.5336894,67753,21797,12428,15407,18492,39,102,"KB1,KB2,KB4,KB6,KB7,KB8,KB10,KB14,KB15,KB16,KB18,KB19,KB22,KB24,KB26,KB28,KB29,KB31,KB32,KB34,KB36,KB37,KB39,KB40,KB41,KB42,KB43,KB44,KB45,KB46,KB47,KB51,KB53,KB55,KB56,KB58,KB59,KB60,KB62","KC33,KC34,KC35,KC36,PA1,KC39,KC40,KM69,KM71,KM72,KM102,KM103,PA3,KC82,PA4,KC83,KC84,PA5,KC77,KC78,KC79,KB33,KB48,KB49,KB50,KB52,KB61,KB64,KB65,KB66,KB67,KB68,HBM782.HVML.355,HBM938.WTSR.492,HBM683.HJQF.753,HBM976.LDTR.982,HBM845.SFMK.942,HBM293.NNSQ.773,HBM842.DDTX.473,HBM648.DKQK.874,HBM467.RQDN.922,HBM626.PHCW.834,HBM796.PCWD.863,HBM482.MCCP.264,HBM722.TVXP.469,HBM373.HCFG.722,HBM964.BVWP.737,HBM743.RNWC.765,HBM449.QGGL.994,HBM745.FJML.722,HBM465.STNV.844,HBM593.CLXN.573,HBM425.GDJT.648,HBM368.JCBG.263,HBM439.BQLR.867,HBM253.ZBGF.863,HBM563.FFQJ.764,HBM292.MTQK.563,HBM689.ZKRJ.585,HBM247.HLXR.494,HBM437.LCSH.956,HBM456.XDCK.572,HBM937.TWRN.355,HBM322.XJQZ.894,HBM979.VMDC.365,HBM976.MRWH.263,HBM938.GBST.823,HBM936.MHTZ.834,HBM524.KHPH.599,HBM324.XBMF.465,HBM975.MVDK.648,HBM779.FQMX.497,HBM633.LLDZ.679,HBM793.JDRF.289,HBM787.XCSX.733,HBM525.SJRT.585,HBM752.KZCK.589,HBM734.LFLC.264,HBM675.VBDH.688,HBM933.JFFT.692,HBM688.RPFC.258,HBM573.JGLL.575,HBM349.QCWZ.339,HBM522.FTFK.487,HBM528.DMSV.294,HBM334.DWWF.436,HBM539.GJNB.784,HBM674.FLVW.576,HBM759.CHJW.244,HBM299.VDWT.444,HBM928.THDD.545,HBM363.NTWP.766,HBM874.JPGB.398,HBM745.HTBD.332,HBM823.CNRW.484,HBM879.SGNW.944,HBM264.MJCH.639,HBM445.HBRQ.488,HBM729.TVMN.534,HBM478.VWXX.362,HBM847.MDSJ.826,HBM766.NZWP.682",1.2058147,0.35697305,2.012889440185188e-12,http://purl.obolibrary.org/obo/UBERON_0004134,kidney proximal tubule epithelial,http://purl.obolibrary.org/obo/UBERON_0000061,https://purl.humanatlas.io/vocab/hp,Proximal tubule epithelial
