biomarker_label,organ,biomarker_id,ensembl_id
B2M,Right kidney,HGNC:914,ENSG00000273686
CST3,Right kidney,HGNC:2475,ENSG00000101439
FABP1,Right kidney,HGNC:3555,ENSG00000163586
HAVCR1,Right kidney,HGNC:17866,ENSG00000113249
IGFBP7,Right kidney,HGNC:5476,ENSG00000163453
IL18,Right kidney,HGNC:5986,ENSG00000150782
ITGAM,Right kidney,HGNC:6149,ENSG00000169896
NRXN1,Right kidney,HGNC:8008,ENSG00000179915
S100A6,Right kidney,HGNC:10496,ENSG00000197956
SERPINE2,Right kidney,HGNC:8951,ENSG00000135919
SPP1,Right kidney,HGNC:11255,ENSG00000118785
TFF3,Right kidney,HGNC:11757,ENSG00000160180
